"dt_ini","dt_fin","id_cnpj","reg","uf","vl_or","cod_rec","id_importation","id_tenant","dt_created","dt_updated","year","month","day","hour","minute","rown"
"01/10/2023","31/10/2023","09017661001176",E300,SC,10.85,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/09/2023","30/09/2023","09017661000609",E300,CE,2180.2699999999995,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/05/2023","31/05/2023","09017661000609",E300,AM,2861.66,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/04/2023","30/04/2023","09017661000790",E300,PR,204.19,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/02/2023","28/02/2023","09017661000528",E300,MS,285.27,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/02/2023","28/02/2023","09017661000528",E300,AL,31.29,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/02/2023","28/02/2023","09017661000528",E300,DF,1347.1499999999999,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/04/2023","30/04/2023","09017661000609",E300,SC,5193.530000000002,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/02/2023","28/02/2023","09017661000528",E300,SC,177.01999999999998,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/04/2023","30/04/2023","09017661000528",E300,PE,154.85,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/04/2023","30/04/2023","09017661000528",E300,BA,140.64,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/05/2023","31/05/2023","09017661000609",E300,AL,2624.1000000000004,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/09/2023","30/09/2023","09017661000609",E300,AL,246.47,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/06/2023","30/06/2023","09017661000528",E300,PR,576.82,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/09/2023","30/09/2023","09017661000609",E300,AL,20.54,"100129","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/05/2023","31/05/2023","09017661000528",E300,RS,240.44,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/10/2022","31/10/2022","09017661000609",E300,SE,1285.19,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/09/2023","30/09/2023","09017661000528",E300,RJ,113.34,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/05/2023","31/05/2023","09017661000528",E300,PA,122.82,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/02/2023","28/02/2023","09017661000528",E300,CE,272.20000000000005,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/06/2023","30/06/2023","09017661000528",E300,MS,298.32,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/09/2023","30/09/2023","09017661000609",E300,PA,1735.16,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/05/2023","31/05/2023","09017661000609",E300,AL,218.68,"100129","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
