"cnpj","_id","company_name","ie","segment","initial_sped","final_sped","uf","tenant_name","expiration_date","branch_name","branch_name_from_sped","created_at","cnpj_name","rown"
"35068230000177",f5ab4495-4e1a-4d52-82fc-2ba75eb5d5f4,Paula Torres,"083604472",Unidade de Negócio não atribuída pelo usuário,"01/2023","12/2023",ES,paulatorres,"25/03/2044",PAULA TORRES COMERCIO DE CALCADOS LTDA,PAULA TORRES,"2024-03-25 18:47","35068230",1
"09017661000285",e7012739-ccaf-443c-ac53-41b3a75f01b3,Torres,"145093462111",Unidade de Negócio não atribuída pelo usuário,"01/2023","12/2023",SP,paulatorres,"25/03/2044",TORRES COMERCIO DE CALCADOS - EIRELI,PAULA TORRES,"2024-03-25 18:47","09017661",1
"35068230000258",fe57a10e-23b4-4fac-a810-67f806bf0b29,Paula Torres,"083609237",Unidade de Negócio não atribuída pelo usuário,"07/2022","12/2023",ES,paulatorres,"25/03/2044",PAULA TORRES COMERCIO DE CALCADOS LTDA,PAULA TORRES,"2024-03-25 18:47","35068230",1
"09017661000790",ed68db52-6143-4b91-b2a6-2615838d8094,Torres,"129717952111",Unidade de Negócio não atribuída pelo usuário,"01/2023","12/2023",SP,paulatorres,"25/03/2044",TORRES COMERCIO DE CALCADOS - EIRELI,PAULA TORRES,"2024-03-25 18:47","09017661",1
"09017661000609",fcffd4ce-fd6c-468e-b9b2-f5d4c1919842,Torres,"131189904110",Unidade de Negócio não atribuída pelo usuário,"07/2022","12/2023",SP,paulatorres,"25/03/2044",TORRES COMERCIO DE CALCADOS - EIRELI,PAULA TORRES,"2024-03-25 18:47","09017661",1
"09017661000447",f5d79786-6658-4455-b4e2-f61e38be605d,Torres,"126837414119",Unidade de Negócio não atribuída pelo usuário,"01/2023","12/2023",SP,paulatorres,"25/03/2044",TORRES COMERCIO DE CALCADOS - EIRELI,PAULA TORRES,"2024-03-25 18:47","09017661",1
"35068230000410","935ae19b-05b2-4e76-86ad-0fa26e3d29d5",Paula Torres,"125971428118",Unidade de Negócio não atribuída pelo usuário,"10/2023","12/2023",SP,paulatorres,"25/03/2044",PAULA TORRES COMERCIO DE CALCADOS LTDA,PAULA TORRES,"2024-03-25 18:47","35068230",1
"35068230000339",fd266c1a-d9a2-4502-8b5e-0862eb56abd9,Paula Torres,"1310169877",Unidade de Negócio não atribuída pelo usuário,"01/2023","12/2023",RS,paulatorres,"25/03/2044",PAULA TORRES COMERCIO DE CALCADOS LTDA,PAULA TORRES COMERCIO DE CALCADOS LTDA,"2024-03-25 18:47","35068230",1
"09017661001257",e31142ac-17fe-4086-806d-dc5f67de91f1,Torres,"124827778111",Unidade de Negócio não atribuída pelo usuário,"08/2023","12/2023",SP,paulatorres,"25/03/2044",TORRES COMERCIO DE CALCADOS LTDA,PAULA TORRES,"2024-03-25 18:47","09017661",1
"09017661000951",f929ae62-68b6-4492-bd43-843bb24de4c0,Torres,"0813440900231",Unidade de Negócio não atribuída pelo usuário,"01/2023","12/2023",DF,paulatorres,"25/03/2044",TORRES COMERCIO DE CALCADOS - EIRELI,TORRES COMERCIO DE CALCADOS - EIRELI,"2024-03-25 18:47","09017661",1
"09017661000870",cba532c7-2b06-4f19-b650-31043a5e19d3,Torres,"133232221115",Unidade de Negócio não atribuída pelo usuário,"01/2023","12/2023",SP,paulatorres,"25/03/2044",TORRES COMERCIO DE CALCADOS  EIRELI,PAULA TORRES,"2024-03-25 18:47","09017661",1
"09017661001095",f4ab5c26-67c6-4b8f-aee0-7a4e9968c3d9,Torres,"9094528302",Unidade de Negócio não atribuída pelo usuário,"01/2023","12/2023",PR,paulatorres,"25/03/2044",TORRES COMERCIO DE CALCADOS - EIRELI,TORRES COMERCIO DE CALCADOS - EIRELI,"2024-03-25 18:47","09017661",1
"09017661000102",ecc7d5be-1d51-44e5-ada8-4329ccb78e46,Torres,"148384430111",Unidade de Negócio não atribuída pelo usuário,"01/2023","12/2023",SP,paulatorres,"25/03/2044",TORRES COMERCIO DE CALCADOS - EIRELI,PAULA TORRES,"2024-03-25 18:47","09017661",1
"09017661000528",e225ee5f-de9d-4ec8-a32e-b2eaaf966882,Torres,"129717943110",Unidade de Negócio não atribuída pelo usuário,"01/2023","12/2023",SP,paulatorres,"25/03/2044",TORRES COMERCIO DE CALCADOS - EIRELI,PAULA TORRES,"2024-03-25 18:47","09017661",1
"09017661000366",f639e6cf-49b2-4e99-bc37-6c760f278525,Torres,"122535868114",Unidade de Negócio não atribuída pelo usuário,"01/2023","12/2023",SP,paulatorres,"25/03/2044",Torres Comercio de Calcados - Eireli,PAULA TORRES,"2024-03-25 18:47","09017661",1
"09017661001176",cb951691-c88f-4780-9edd-ae08d9aafd19,Torres,"653205145118",Unidade de Negócio não atribuída pelo usuário,"06/2023","12/2023",SP,paulatorres,"25/03/2044",Torres Comercio de Calcados Ltda,PAULA TORRES,"2024-03-25 18:47","09017661",1
