"cnpj","filial","competencia","notas_totais","notas_faltantes","porcentagem_faltante"
"35068230000258",PAULA TORRES COMERCIO DE CALCADOS LTDA,"05/2023",162,0,"0.00%"
"09017661000528",TORRES COMERCIO DE CALCADOS - EIRELI,"06/2023",266,4,"1.50%"
"09017661001095",TORRES COMERCIO DE CALCADOS - EIRELI,"12/2023",291,0,"0.00%"
"09017661000951",TORRES COMERCIO DE CALCADOS - EIRELI,"03/2023",245,0,"0.00%"
"09017661000951",TORRES COMERCIO DE CALCADOS - EIRELI,"11/2023",336,0,"0.00%"
"09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"12/2023",2435,0,"0.00%"
"09017661000951",TORRES COMERCIO DE CALCADOS - EIRELI,"06/2023",240,0,"0.00%"
"09017661000366",Torres Comercio de Calcados - Eireli,"07/2023",299,166,"55.52%"
"09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"06/2023",2045,0,"0.00%"
"09017661000102",TORRES COMERCIO DE CALCADOS - EIRELI,"10/2023",160,66,"41.25%"
"09017661001095",TORRES COMERCIO DE CALCADOS - EIRELI,"11/2023",240,0,"0.00%"
"09017661000790",TORRES COMERCIO DE CALCADOS - EIRELI,"01/2023",160,83,"51.88%"
"09017661001095",TORRES COMERCIO DE CALCADOS - EIRELI,"03/2023",238,0,"0.00%"
"35068230000339",PAULA TORRES COMERCIO DE CALCADOS LTDA,"04/2023",14,0,"0.00%"
"09017661000870",TORRES COMERCIO DE CALCADOS  EIRELI,"03/2023",188,88,"46.81%"
"09017661000366",Torres Comercio de Calcados - Eireli,"01/2023",165,97,"58.79%"
"09017661000528",TORRES COMERCIO DE CALCADOS - EIRELI,"07/2023",267,0,"0.00%"
"09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"10/2022",1502,0,"0.00%"
"09017661001095",TORRES COMERCIO DE CALCADOS - EIRELI,"09/2023",217,0,"0.00%"
"09017661000870",TORRES COMERCIO DE CALCADOS  EIRELI,"11/2023",180,89,"49.44%"
"35068230000339",PAULA TORRES COMERCIO DE CALCADOS LTDA,"01/2023",5,5,"100.00%"
"09017661000870",TORRES COMERCIO DE CALCADOS  EIRELI,"02/2023",145,81,"55.86%"
"09017661000447",TORRES COMERCIO DE CALCADOS - EIRELI,"11/2023",685,19,"2.77%"
"09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"09/2022",2052,2052,"100.00%"
"09017661000447",TORRES COMERCIO DE CALCADOS - EIRELI,"05/2023",647,470,"72.64%"
"09017661001095",TORRES COMERCIO DE CALCADOS - EIRELI,"01/2023",172,0,"0.00%"
"35068230000258",PAULA TORRES COMERCIO DE CALCADOS LTDA,"09/2022",226,0,"0.00%"
"09017661000790",TORRES COMERCIO DE CALCADOS - EIRELI,"03/2023",206,99,"48.06%"
"09017661000285",TORRES COMERCIO DE CALCADOS - EIRELI,"11/2023",545,318,"58.35%"
"35068230000339",PAULA TORRES COMERCIO DE CALCADOS LTDA,"12/2023",12,0,"0.00%"
"09017661000447",TORRES COMERCIO DE CALCADOS - EIRELI,"07/2023",559,150,"26.83%"
"35068230000258",PAULA TORRES COMERCIO DE CALCADOS LTDA,"06/2023",160,0,"0.00%"
"09017661000951",TORRES COMERCIO DE CALCADOS - EIRELI,"09/2023",223,0,"0.00%"
"09017661000951",TORRES COMERCIO DE CALCADOS - EIRELI,"10/2023",182,0,"0.00%"
"09017661000528",TORRES COMERCIO DE CALCADOS - EIRELI,"03/2023",426,285,"66.90%"
"09017661000870",TORRES COMERCIO DE CALCADOS  EIRELI,"10/2023",124,72,"58.06%"
"09017661000528",TORRES COMERCIO DE CALCADOS - EIRELI,"09/2023",265,265,"100.00%"
"09017661000870",TORRES COMERCIO DE CALCADOS  EIRELI,"09/2023",114,74,"64.91%"
"09017661000790",TORRES COMERCIO DE CALCADOS - EIRELI,"12/2023",262,165,"62.98%"
"35068230000258",PAULA TORRES COMERCIO DE CALCADOS LTDA,"04/2023",169,0,"0.00%"
"09017661000528",TORRES COMERCIO DE CALCADOS - EIRELI,"08/2023",336,265,"78.87%"
"35068230000258",PAULA TORRES COMERCIO DE CALCADOS LTDA,"02/2023",136,0,"0.00%"
"09017661000790",TORRES COMERCIO DE CALCADOS - EIRELI,"08/2023",213,106,"49.77%"
"09017661000285",TORRES COMERCIO DE CALCADOS - EIRELI,"06/2023",376,246,"65.43%"
"09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"08/2023",3082,0,"0.00%"
"09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"01/2023",2781,0,"0.00%"
"09017661001176",Torres Comercio de Calcados Ltda,"12/2023",263,61,"23.19%"
"09017661000528",TORRES COMERCIO DE CALCADOS - EIRELI,"05/2023",322,5,"1.55%"
"09017661000285",TORRES COMERCIO DE CALCADOS - EIRELI,"02/2023",319,187,"58.62%"
"09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"07/2023",3519,0,"0.00%"
"09017661000102",TORRES COMERCIO DE CALCADOS - EIRELI,"12/2023",279,123,"44.09%"
"09017661000790",TORRES COMERCIO DE CALCADOS - EIRELI,"11/2023",228,131,"57.46%"
"09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"05/2023",2418,0,"0.00%"
"09017661000447",TORRES COMERCIO DE CALCADOS - EIRELI,"09/2023",485,0,"0.00%"
"35068230000339",PAULA TORRES COMERCIO DE CALCADOS LTDA,"06/2023",10,0,"0.00%"
"09017661000951",TORRES COMERCIO DE CALCADOS - EIRELI,"07/2023",363,0,"0.00%"
"09017661000102",TORRES COMERCIO DE CALCADOS - EIRELI,"03/2023",216,85,"39.35%"
"35068230000258",PAULA TORRES COMERCIO DE CALCADOS LTDA,"12/2023",124,0,"0.00%"
"09017661000790",TORRES COMERCIO DE CALCADOS - EIRELI,"07/2023",321,169,"52.65%"
"09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"12/2022",2239,2239,"100.00%"
"09017661000285",TORRES COMERCIO DE CALCADOS - EIRELI,"08/2023",485,281,"57.94%"
"09017661000870",TORRES COMERCIO DE CALCADOS  EIRELI,"05/2023",167,110,"65.87%"
"35068230000258",PAULA TORRES COMERCIO DE CALCADOS LTDA,"07/2023",185,0,"0.00%"
"09017661000447",TORRES COMERCIO DE CALCADOS - EIRELI,"03/2023",495,350,"70.71%"
"35068230000339",PAULA TORRES COMERCIO DE CALCADOS LTDA,"10/2023",11,0,"0.00%"
"35068230000339",PAULA TORRES COMERCIO DE CALCADOS LTDA,"08/2023",9,0,"0.00%"
"09017661001095",TORRES COMERCIO DE CALCADOS - EIRELI,"05/2023",217,0,"0.00%"
"09017661000790",TORRES COMERCIO DE CALCADOS - EIRELI,"06/2023",215,147,"68.37%"
"35068230000258",PAULA TORRES COMERCIO DE CALCADOS LTDA,"11/2023",86,0,"0.00%"
"09017661000870",TORRES COMERCIO DE CALCADOS  EIRELI,"06/2023",165,97,"58.79%"
"09017661000366",Torres Comercio de Calcados - Eireli,"05/2023",236,150,"63.56%"
"09017661000285",TORRES COMERCIO DE CALCADOS - EIRELI,"07/2023",596,381,"63.93%"
"09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"08/2022",2148,2148,"100.00%"
"09017661000366",Torres Comercio de Calcados - Eireli,"10/2023",120,85,"70.83%"
"09017661000285",TORRES COMERCIO DE CALCADOS - EIRELI,"10/2023",261,181,"69.35%"
"09017661000528",TORRES COMERCIO DE CALCADOS - EIRELI,"11/2023",275,275,"100.00%"
"09017661001095",TORRES COMERCIO DE CALCADOS - EIRELI,"02/2023",143,0,"0.00%"
"35068230000339",PAULA TORRES COMERCIO DE CALCADOS LTDA,"11/2023",11,0,"0.00%"
"09017661000285",TORRES COMERCIO DE CALCADOS - EIRELI,"03/2023",445,247,"55.51%"
"09017661000790",TORRES COMERCIO DE CALCADOS - EIRELI,"05/2023",233,132,"56.65%"
