"id","cfop","cfop_descr","cfop_descricao_movimento","cfop_ext","classificacao","descricao","grupo","operacao_saida_icms","origem_destino","sub_grupo","tipo","tipo_operacao","classificacao_adicional","modulo_de_compras","compras_transf","tipo_icms","custo"
"1409","1409","1409 | Transferência para comercialização em operação com mercadoria sujeita ao regime de substituição tributária           ","1409 | Transferência para comercialização em operação com mercadoria sujeita ao regime de substituição tributária | Dentro do estado           ","409",Transferência - revenda - com ST,Transferência para comercialização em operação com mercadoria sujeita ao regime de substituição tributária           ,Entradas Ou Aquisições De Serviços Do Estado,"",Dentro do estado,Entradas De Mercadorias Sujeitas Ao Regime De Substituição Tributária,Mercadoria,Entradas,Transferência produto acabado,Sim,Transferência,Crédito,Não
"2209","2209","2209 | Devolução de mercadoria adquirida ou recebida de terceiros, remetida em transferência                     ","2209 | Devolução de mercadoria adquirida ou recebida de terceiros, remetida em transferência | Interestadual                        ","209",Devolução,"Devolução de mercadoria adquirida ou recebida de terceiros, remetida em transferência                     ",Entradas Ou Aquisições De Serviços De Outros Estados,"",Interestadual,"Devoluções De Vendas De Produção Própria, De Terceiros Ou Anulações De Valores",Mercadoria,Entradas,"",Não,Não,Crédito,Não
"3129","3129","3129 | Compra para industrialização sob o Regime Aduaneiro Especial de Entreposto Industrial sob Controle Informatizado do Sistema Público de Escrituração Digital (Recof Sped).","3129 | Compra para industrialização sob o Regime Aduaneiro Especial de Entreposto Industrial sob Controle Informatizado do Sistema Público de Escrituração Digital (Recof Sped) | Importação","129",Insumo - recof,Compra para industrialização sob o Regime Aduaneiro Especial de Entreposto Industrial sob Controle Informatizado do Sistema Público de Escrituração Digital (Recof Sped).,Entradas Ou Aquisições De Serviços Do Exterior,"",Importação,"Compras Para Industrialização, produção rural, Comercialização Ou Prestação De Serviços",Mercadoria,Entradas,"",Sim,Compra,Crédito,Não
"5409","5409","5409 | Transferência de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita ao regime de substituição tributária      ","5409 |Transferência de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita ao regime de substituição tributária | Dentro do estado      ","409",Transferência - revenda - com ST,Transferência de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita ao regime de substituição tributária      ,Saídas Ou Prestações De Serviços Para O Estado,Transferência,Dentro do estado,Saídas De Mercadorias Sujeitas Ao Regime De Substituição Tributária,Mercadoria,Saídas,Transferência produto acabado,Não,Não,Débito,Não
"6120","6120","6120 | Venda de mercadoria adquirida ou recebida de terceiros entregue ao destinatário pelo vendedor remetente, em venda à ordem  ","6120 | Venda de mercadoria adquirida ou recebida de terceiros entregue ao destinatário pelo vendedor remetente, em venda à ordem | Interestadual     ","120",Revenda,"Venda de mercadoria adquirida ou recebida de terceiros entregue ao destinatário pelo vendedor remetente, em venda à ordem  ",Saídas Ou Prestações De Serviços Para Outros Estados,Receita,Interestadual,Vendas De Produção Própria Ou De Terceiros,Mercadoria,Saídas,Receita,Não,Não,Débito,Sim
"6902","6902","6902 | Retorno de mercadoria utilizada na industrialização por encomenda                                         ","6902 | Retorno de mercadoria utilizada na industrialização por encomenda | Interestadual                                            ","902",Retorno industrialização por encomenda,Retorno de mercadoria utilizada na industrialização por encomenda                                         ,Saídas Ou Prestações De Serviços Para Outros Estados,Outras,Interestadual,Outras Saídas De Mercadorias Ou Prestações De Serviços,Mercadoria,Saídas,"",Não,Não,Débito,Não
"1126","1126","1126 | compras para utilização na prestação de serviços sujeitas ao ICMS                                         ","1126 | compras para utilização na prestação de serviços sujeitas ao ICMS | Dentro do estado                                         ","126",Produto para utilização em serviço,compras para utilização na prestação de serviços sujeitas ao ICMS                                         ,Entradas Ou Aquisições De Serviços Do Estado,"",Dentro do estado,"Compras para Industrialização, produção rural, comercialização ou prestação de serviços",Mercadoria,Entradas,"",Sim,Compra,Crédito,Não
"1913","1913","1913 | Retorno de mercadoria ou bem remetido para demonstração, mostruário ou treinamento                                                   ","1913 | Retorno de mercadoria ou bem remetido para demonstração, mostruário ou treinamento | Dentro do estado                                                   ","913",Demonstração,"Retorno de mercadoria ou bem remetido para demonstração, mostruário ou treinamento                                                   ",Entradas Ou Aquisições De Serviços Do Estado,"",Dentro do estado,Outras Entradas De Mercadorias Ou Aquisições De Serviços,Mercadoria,Entradas,"",Não,Não,Crédito,Não
"2556","2556","2556 | Compra de material para uso ou consumo                                                                    ","2556 | Compra de material para uso ou consumo | Interestadual                                                                       ","556",Uso e consumo,Compra de material para uso ou consumo                                                                    ,Entradas Ou Aquisições De Serviços De Outros Estados,"",Interestadual,Operações Com Bens De Ativo Imobilizado E Materiais Para Uso Ou Consumo,Mercadoria,Entradas,Uso e consumo,Sim. Uso e consumo. ,Compra,Crédito,Não
"5132","5132","5132 | Fixação de preço de produção do estabelecimento, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, de ato cooperativo.","5132 | Fixação de preço de produção do estabelecimento, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, de ato cooperativo | Dentro do estado ","132",Outras saídas,"Fixação de preço de produção do estabelecimento, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, de ato cooperativo.",Saídas Ou Prestações De Serviços Para O Estado,Outras,Dentro do estado,Vendas De Produção Própria Ou De Terceiros,Mercadoria,Saídas,"",Não,Não,Débito,Não
"5905","5905","5905 | Remessa para depósito fechado ou armazém geral                                                            ","5905 | Remessa para depósito fechado ou armazém geral | Dentro do estado                                                            ","905",Armazenagem,Remessa para depósito fechado ou armazém geral                                                            ,Saídas Ou Prestações De Serviços Para O Estado,Outras,Dentro do estado,Outras Saídas De Mercadorias Ou Prestações De Serviços,Mercadoria,Saídas,"",Não,Não,Débito,Não
"6401","6401","6401 | Venda de produção do estabelecimento em operação com produto sujeito ao regime de substituição tributária, na condição de contribuinte substituto.            ","6401 | Venda de produção do estabelecimento em operação com produto sujeito ao regime de substituição tributária, na condição de contribuinte substituto. | Interestadual               ","401",Venda de produção - com ST,"Venda de produção do estabelecimento em operação com produto sujeito ao regime de substituição tributária, na condição de contribuinte substituto.            ",Saídas Ou Prestações De Serviços Para Outros Estados,Receita,Interestadual,Saídas De Mercadorias Sujeitas Ao Regime De Substituição Tributária,Mercadoria,Saídas,Receita,Não,Não,Débito,Não
"7553","7553","7553 | Devolução de compra de bem para o ativo imobilizado                                                       ","7553 | Devolução de compra de bem para o ativo imobilizado | Exportação                                                             ","553",Devolução,Devolução de compra de bem para o ativo imobilizado                                                       ,Saídas Ou Prestações De Serviços Para O Exterior,Outras,Exportação,Operações Com Bens De Ativo Imobilizado E Materiais Para Uso Ou Consumo,Mercadoria,Saídas,"",Não,Não,Débito,Não
