"id","cod_ibge","nome","nome_uf","sigla_uf","uf"
"1199","2411502",Santo Antônio,Rio Grande do Norte,RN,"24"
"1584","2610301",Paranatama,Pernambuco,PE,"26"
"5237","5104807",Jaciara,Mato Grosso,MT,"51"
"2100","2922607",Nilo Peçanha,Bahia,BA,"29"
"2995","3163904",São Pedro da União,Minas Gerais,MG,"31"
"888","2211407",Várzea Grande,Piauí,PI,"22"
"3796","3547106",Santa Mercedes,São Paulo,SP,"35"
"5272","5106307",Paranatinga,Mato Grosso,MT,"51"
"1551","2607752",Itapissuma,Pernambuco,PE,"26"
"3308","3503505",Areias,São Paulo,SP,"35"
"2381","3112505",Capim Branco,Minas Gerais,MG,"31"
"4166","4118105",Paranacity,Paraná,PR,"41"
"1145","2406403",Lagoa de Velhos,Rio Grande do Norte,RN,"24"
"3394","3511102",Catanduva,São Paulo,SP,"35"
"4677","4303806",Campinas do Sul,Rio Grande do Sul,RS,"43"
"1249","2500577",Algodão de Jandaíra,Paraíba,PB,"25"
"2579","3129608",Ibiaí,Minas Gerais,MG,"31"
"4650","4302154",Boa Vista das Missões,Rio Grande do Sul,RS,"43"
"1000","2308104",Mauriti,Ceará,CE,"23"
"2726","3141702",Mesquita,Minas Gerais,MG,"31"
"5510","5217609",Planaltina,Goiás,GO,"52"
"768","2205201",Jaicós,Piauí,PI,"22"
"3268","3500105",Adamantina,São Paulo,SP,"35"
"5343","5201454",Aparecida do Rio Doce,Goiás,GO,"52"
"1633","2614857",Tamandaré,Pernambuco,PE,"26"
"3184","3300456",Belford Roxo,Rio de Janeiro,RJ,"33"
"4647","4302006",Barros Cassal,Rio Grande do Sul,RS,"43"
"1238","2414704",Várzea,Rio Grande do Norte,RN,"24"
"3711","3539509",Pitangueiras,São Paulo,SP,"35"
"4813","4310413",Inhacorá,Rio Grande do Sul,RS,"43"
"1215","2413003",São Vicente,Rio Grande do Norte,RN,"24"
"3931","4101507",Arapongas,Paraná,PR,"41"
"5149","5005103",Jateí,Mato Grosso do Sul,MS,"50"
"1389","2511905",Pitimbu,Paraíba,PB,"25"
"3562","3525854",Jumirim,São Paulo,SP,"35"
"1912","2906899",Caraíbas,Bahia,BA,"29"
"4443","4208500",Ituporanga,Santa Catarina,SC,"42"
"886","2211308",Valença do Piauí,Piauí,PI,"22"
"5041","4320677",Sinimbu,Rio Grande do Sul,RS,"43"
"326","1702307",Arapoema,Tocantins,TO,"17"
"2302","3105301",Bandeira do Sul,Minas Gerais,MG,"31"
"4290","4127403",Terra Roxa,Paraná,PR,"41"
"5274","5106422",Peixoto de Azevedo,Mato Grosso,MT,"51"
"1496","2602902",Cabo de Santo Agostinho,Pernambuco,PE,"26"
"3623","3531605",Monte Castelo,São Paulo,SP,"35"
"1675","2702355",Craíbas,Alagoas,AL,"27"
"2304","3105509",Barão de Monte Alto,Minas Gerais,MG,"31"
"4032","4108205",Formosa do Oeste,Paraná,PR,"41"
"1690","2703700",Jaramataia,Alagoas,AL,"27"
"3409","3512605",Coronel Macedo,São Paulo,SP,"35"
"5201","5101902",Brasnorte,Mato Grosso,MT,"51"
"233","1505106",Óbidos,Pará,PA,"15"
"3460","3516705",Garça,São Paulo,SP,"35"
"4434","4207809",Irani,Santa Catarina,SC,"42"
"1621","2613602",São José do Egito,Pernambuco,PE,"26"
"3344","3506805",Bocaina,São Paulo,SP,"35"
"502","2103000",Caxias,Maranhão,MA,"21"
