"cfop","cst","descr_resumida","descr","chave","icms","cst_descr","numeracao"
"1118","100",Tributada integralmente - Importado,"Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Tributada integralmente","1118100",Sim,"100|Tributada integralmente - Importado","19"
"1205","100",Tributada integralmente - Importado,"Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Tributada integralmente","1205100",Sim,"100|Tributada integralmente - Importado","19"
"1305","100",Tributada integralmente - Importado,"Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Tributada integralmente","1305100",Não,"100|Tributada integralmente - Importado","19"
"1411","100",Tributada integralmente - Importado,"Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Tributada integralmente","1411100",Não,"100|Tributada integralmente - Importado","19"
"1557","100",Tributada integralmente - Importado,"Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Tributada integralmente","1557100",Não,"100|Tributada integralmente - Importado","19"
"1902","100",Tributada integralmente - Importado,"Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Tributada integralmente","1902100",Não,"100|Tributada integralmente - Importado","19"
"1918","100",Tributada integralmente - Importado,"Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Tributada integralmente","1918100",Sim,"100|Tributada integralmente - Importado","19"
"2113","100",Tributada integralmente - Importado,"Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Tributada integralmente","2113100",Sim,"100|Tributada integralmente - Importado","19"
"2203","100",Tributada integralmente - Importado,"Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Tributada integralmente","2203100",Sim,"100|Tributada integralmente - Importado","19"
"2303","100",Tributada integralmente - Importado,"Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Tributada integralmente","2303100",Não,"100|Tributada integralmente - Importado","19"
"2410","100",Tributada integralmente - Importado,"Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Tributada integralmente","2410100",Não,"100|Tributada integralmente - Importado","19"
"2603","100",Tributada integralmente - Importado,"Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Tributada integralmente","2603100",Sim,"100|Tributada integralmente - Importado","19"
"2906","100",Tributada integralmente - Importado,"Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Tributada integralmente","2906100",Não,"100|Tributada integralmente - Importado","19"
"2922","100",Tributada integralmente - Importado,"Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Tributada integralmente","2922100",Não,"100|Tributada integralmente - Importado","19"
"3207","100",Tributada integralmente - Importado,"Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Tributada integralmente","3207100",Sim,"100|Tributada integralmente - Importado","19"
"3653","100",Tributada integralmente - Importado,"Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Tributada integralmente","3653100",Sim,"100|Tributada integralmente - Importado","19"
"5116","100",Tributada integralmente - Importado,"Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Tributada integralmente","5116100",Sim,"100|Tributada integralmente - Importado","19"
"5205","100",Tributada integralmente - Importado,"Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Tributada integralmente","5205100",Sim,"100|Tributada integralmente - Importado","19"
"5303","100",Tributada integralmente - Importado,"Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Tributada integralmente","5303100",Sim,"100|Tributada integralmente - Importado","19"
"5403","100",Tributada integralmente - Importado,"Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Tributada integralmente","5403100",Não,"100|Tributada integralmente - Importado","19"
"5551","100",Tributada integralmente - Importado,"Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Tributada integralmente","5551100",Não,"100|Tributada integralmente - Importado","19"
"5655","100",Tributada integralmente - Importado,"Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Tributada integralmente","5655100",Sim,"100|Tributada integralmente - Importado","19"
"5905","100",Tributada integralmente - Importado,"Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Tributada integralmente","5905100",Não,"100|Tributada integralmente - Importado","19"
"5921","100",Tributada integralmente - Importado,"Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Tributada integralmente","5921100",Não,"100|Tributada integralmente - Importado","19"
"6104","100",Tributada integralmente - Importado,"Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Tributada integralmente","6104100",Sim,"100|Tributada integralmente - Importado","19"
"6120","100",Tributada integralmente - Importado,"Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Tributada integralmente","6120100",Sim,"100|Tributada integralmente - Importado","19"
"6209","100",Tributada integralmente - Importado,"Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Tributada integralmente","6209100",Sim,"100|Tributada integralmente - Importado","19"
"6307","100",Tributada integralmente - Importado,"Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Tributada integralmente","6307100",Sim,"100|Tributada integralmente - Importado","19"
"6411","100",Tributada integralmente - Importado,"Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Tributada integralmente","6411100",Sim,"100|Tributada integralmente - Importado","19"
"6557","100",Tributada integralmente - Importado,"Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Tributada integralmente","6557100",Não,"100|Tributada integralmente - Importado","19"
"6665","100",Tributada integralmente - Importado,"Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Tributada integralmente","6665100",Não,"100|Tributada integralmente - Importado","19"
"6915","100",Tributada integralmente - Importado,"Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Tributada integralmente","6915100",Não,"100|Tributada integralmente - Importado","19"
"7101","100",Tributada integralmente - Importado,"Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Tributada integralmente","7101100",Não,"100|Tributada integralmente - Importado","19"
"7551","100",Tributada integralmente - Importado,"Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Tributada integralmente","7551100",Não,"100|Tributada integralmente - Importado","19"
"1122","101",Simples Nacional,Simples Nacional - Tributada pelo Simples Nacional com permissão de crédito,"1122101",Sim,"101|Simples Nacional","1"
"1208","101",Simples Nacional,Simples Nacional - Tributada pelo Simples Nacional com permissão de crédito,"1208101",Sim,"101|Simples Nacional","1"
"1352","101",Simples Nacional,Simples Nacional - Tributada pelo Simples Nacional com permissão de crédito,"1352101",Sim,"101|Simples Nacional","1"
"1451","101",Simples Nacional,Simples Nacional - Tributada pelo Simples Nacional com permissão de crédito,"1451101",Não,"101|Simples Nacional","1"
"1603","101",Simples Nacional,Simples Nacional - Tributada pelo Simples Nacional com permissão de crédito,"1603101",Sim,"101|Simples Nacional","1"
"1905","101",Simples Nacional,Simples Nacional - Tributada pelo Simples Nacional com permissão de crédito,"1905101",Não,"101|Simples Nacional","1"
"1921","101",Simples Nacional,Simples Nacional - Tributada pelo Simples Nacional com permissão de crédito,"1921101",Não,"101|Simples Nacional","1"
"2118","101",Simples Nacional,Simples Nacional - Tributada pelo Simples Nacional com permissão de crédito,"2118101",Sim,"101|Simples Nacional","1"
"2206","101",Simples Nacional,Simples Nacional - Tributada pelo Simples Nacional com permissão de crédito,"2206101",Sim,"101|Simples Nacional","1"
"2306","101",Simples Nacional,Simples Nacional - Tributada pelo Simples Nacional com permissão de crédito,"2306101",Não,"101|Simples Nacional","1"
"2415","101",Simples Nacional,Simples Nacional - Tributada pelo Simples Nacional com permissão de crédito,"2415101",Não,"101|Simples Nacional","1"
"2653","101",Simples Nacional,Simples Nacional - Tributada pelo Simples Nacional com permissão de crédito,"2653101",Sim,"101|Simples Nacional","1"
"2909","101",Simples Nacional,Simples Nacional - Tributada pelo Simples Nacional com permissão de crédito,"2909101",Não,"101|Simples Nacional","1"
"2925","101",Simples Nacional,Simples Nacional - Tributada pelo Simples Nacional com permissão de crédito,"2925101",Não,"101|Simples Nacional","1"
"3301","101",Simples Nacional,Simples Nacional - Tributada pelo Simples Nacional com permissão de crédito,"3301101",Sim,"101|Simples Nacional","1"
"5101","101",Simples Nacional,Simples Nacional - Tributada pelo Simples Nacional com permissão de crédito,"5101101",Sim,"101|Simples Nacional","1"
"5119","101",Simples Nacional,Simples Nacional - Tributada pelo Simples Nacional com permissão de crédito,"5119101",Sim,"101|Simples Nacional","1"
"5208","101",Simples Nacional,Simples Nacional - Tributada pelo Simples Nacional com permissão de crédito,"5208101",Sim,"101|Simples Nacional","1"
"5306","101",Simples Nacional,Simples Nacional - Tributada pelo Simples Nacional com permissão de crédito,"5306101",Sim,"101|Simples Nacional","1"
"5409","101",Simples Nacional,Simples Nacional - Tributada pelo Simples Nacional com permissão de crédito,"5409101",Sim,"101|Simples Nacional","1"
"5554","101",Simples Nacional,Simples Nacional - Tributada pelo Simples Nacional com permissão de crédito,"5554101",Não,"101|Simples Nacional","1"
"5658","101",Simples Nacional,Simples Nacional - Tributada pelo Simples Nacional com permissão de crédito,"5658101",Sim,"101|Simples Nacional","1"
"5908","101",Simples Nacional,Simples Nacional - Tributada pelo Simples Nacional com permissão de crédito,"5908101",Não,"101|Simples Nacional","1"
"5924","101",Simples Nacional,Simples Nacional - Tributada pelo Simples Nacional com permissão de crédito,"5924101",Não,"101|Simples Nacional","1"
"6107","101",Simples Nacional,Simples Nacional - Tributada pelo Simples Nacional com permissão de crédito,"6107101",Sim,"101|Simples Nacional","1"
"6124","101",Simples Nacional,Simples Nacional - Tributada pelo Simples Nacional com permissão de crédito,"6124101",Sim,"101|Simples Nacional","1"
"6252","101",Simples Nacional,Simples Nacional - Tributada pelo Simples Nacional com permissão de crédito,"6252101",Sim,"101|Simples Nacional","1"
"6353","101",Simples Nacional,Simples Nacional - Tributada pelo Simples Nacional com permissão de crédito,"6353101",Sim,"101|Simples Nacional","1"
"6414","101",Simples Nacional,Simples Nacional - Tributada pelo Simples Nacional com permissão de crédito,"6414101",Não,"101|Simples Nacional","1"
"6652","101",Simples Nacional,Simples Nacional - Tributada pelo Simples Nacional com permissão de crédito,"6652101",Sim,"101|Simples Nacional","1"
"6902","101",Simples Nacional,Simples Nacional - Tributada pelo Simples Nacional com permissão de crédito,"6902101",Não,"101|Simples Nacional","1"
"6918","101",Simples Nacional,Simples Nacional - Tributada pelo Simples Nacional com permissão de crédito,"6918101",Sim,"101|Simples Nacional","1"
