"cst","desc_cst","abrev_tributacao","abrev_origem","dt_ini","dt_fin"
CST_ICMS,DESC_CST,Abreviação Tributação,Abreviação Origem,DT_INI,DT_FIM
"000","Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8 da Tabela A - Tributada integralmente",Tributada integralmente,Nacional,"1082013",""
"002","Nacional, exceto as indicadas nos códigos 3 a 5 da Tabela A - Tributação monofásica própria sobre combustíveis",Tributação monofásica combustíveis,Nacional,"14022023","31032024"
"010","Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8 da Tabela A - Tributada e com cobrança do ICMS por substituição tributária",Tributada e com ST,Nacional,"1082013",""
"015","Nacional, exceto as indicadas nos códigos 3 a 5 da Tabela A - Tributação monofásica própria e com responsabilidade pela retenção sobre combustíveis",Tributação monofásica com retenção combustíveis,Nacional,"14022023","31032024"
"020","Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8 da Tabela A - Com redução de base de cálculo",Redução de base,Nacional,"1082013",""
"030","Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8 da Tabela A - Isenta ou não tributada e com cobrança do ICMS por substituição tributária",Isenta ou não tributada e com ST,Nacional,"1082013",""
"040","Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8 da Tabela A - Isenta",Isenta,Nacional,"1082013",""
"041","Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8 da Tabela A - Não tributada",Não tributada,Nacional,"1082013",""
"050","Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8 da Tabela A - Suspensão",Suspenção,Nacional,"1082013",""
"051","Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8 da Tabela A - Diferimento",Diferimento,Nacional,"1082013",""
"053","Nacional, exceto as indicadas nos códigos 3 a 5 da Tabela A - Tributação monofásica sobre combustíveis com recolhimento diferido",Tributação monofásica combustíveis diferido,Nacional,"14022023","31032024"
"060","Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8 da Tabela A - ICMS cobrado anteriormente por substituição tributária",ICMS cobrado por ST,Nacional,"1082013",""
"061","Nacional, exceto as indicadas nos códigos 3 a 5 da Tabela A - Tributação monofásica sobre combustíveis cobrada anteriormente",Tributação monofásica combustíveis cobrada anteriormente,Nacional,"14022023","31032024"
"070","Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8 da Tabela A - Com redução de base de cálculo e cobrança do ICMS por substituição tributária",Redução de base e com ST,Nacional,"1082013",""
"090","Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8 da Tabela A - Outras",Outras,Nacional,"1082013",""
"101",Simples Nacional - Tributada pelo Simples Nacional com permissão de crédito, Simples com crédito,SIMPLES,"1102010",""
"102",Simples Nacional - Tributada pelo Simples Nacional sem permissão de crédito, Simples sem crédito,SIMPLES,"1102010",""
"103",Simples Nacional - Isenção do ICMS no Simples Nacional para faixa de receita bruta,Simples isenta,SIMPLES,"1102010",""
"220","Estrangeira - Adquirida no mercado interno, exceto a indicada no código 7 da Tabela A - Com redução de base de cálculo",Redução de base,Estrangeira - Adquirida no mercado interno,"1012013",""
"270","Estrangeira - Adquirida no mercado interno, exceto a indicada no código 7 da Tabela A - Com redução de base de cálculo e cobrança do ICMS por substituição tributária",Redução de base e com ST,Estrangeira - Adquirida no mercado interno,"1012013",""
"251","Estrangeira - Adquirida no mercado interno, exceto a indicada no código 7 da Tabela A - Diferimento",Diferimento,Estrangeira - Adquirida no mercado interno,"1012013",""
"260","Estrangeira - Adquirida no mercado interno, exceto a indicada no código 7 da Tabela A - ICMS cobrado anteriormente por substituição tributária",ICMS cobrado por ST,Estrangeira - Adquirida no mercado interno,"1012013",""
"240","Estrangeira - Adquirida no mercado interno, exceto a indicada no código 7 da Tabela A - Isenta",Isenta,Estrangeira - Adquirida no mercado interno,"1012013",""
"230","Estrangeira - Adquirida no mercado interno, exceto a indicada no código 7 da Tabela A - Isenta ou não tributada e com cobrança do ICMS por substituição tributária",Isenta ou não tributada e com ST,Estrangeira - Adquirida no mercado interno,"1012013",""
"241","Estrangeira - Adquirida no mercado interno, exceto a indicada no código 7 da Tabela A - Não tributada",Não tributada,Estrangeira - Adquirida no mercado interno,"1012013",""
"290","Estrangeira - Adquirida no mercado interno, exceto a indicada no código 7 da Tabela A - Outras",Outras,Estrangeira - Adquirida no mercado interno,"1012013",""
"250","Estrangeira - Adquirida no mercado interno, exceto a indicada no código 7 da Tabela A - Suspensão",Suspenção,Estrangeira - Adquirida no mercado interno,"1012013",""
"215","Estrangeira - Adquirida no mercado interno, exceto a indicada no código 7 da Tabela A - Tributação monofásica própria e com responsabilidade pela retenção sobre combustíveis",Tributação monofásica com retenção combustíveis,Estrangeira - Adquirida no mercado interno,"1042023",""
"261","Estrangeira - Adquirida no mercado interno, exceto a indicada no código 7 da Tabela A - Tributação monofásica sobre combustíveis cobrada anteriormente",Tributação monofásica combustíveis cobrada anteriormente,Estrangeira - Adquirida no mercado interno,"1042023",""
"253","Estrangeira - Adquirida no mercado interno, exceto a indicada no código 7 da Tabela A - Tributação monofásica sobre combustíveis com recolhimento diferido",Tributação monofásica combustíveis diferido,Estrangeira - Adquirida no mercado interno,"1042023",""
"210","Estrangeira - Adquirida no mercado interno, exceto a indicada no código 7 da Tabela A - Tributada e com cobrança do ICMS por substituição tributária",Tributada e com ST,Estrangeira - Adquirida no mercado interno,"1012013",""
"200","Estrangeira - Adquirida no mercado interno, exceto a indicada no código 7 da Tabela A - Tributada integralmente",Tributada integralmente,Estrangeira - Adquirida no mercado interno,"1012013",""
"201",Simples Nacional - Tributada pelo Simples Nacional com permissão de crédito e com cobrança do ICMS por substituição tributária, Simples com crédito e ST,SIMPLES,"1102010",""
"202",Simples Nacional - Tributada pelo Simples Nacional sem permissão de crédito e com cobrança do ICMS por substituição tributária, Simples sem crédito e com ST,SIMPLES,"1102010",""
"203",Simples Nacional - Isenção do ICMS no Simples Nacional para faixa de receita bruta e com cobrança do ICMS por substituição tributária,Simples isento e com ST,SIMPLES,"1102010",""
"300","Nacional, mercadoria ou bem com Conteúdo de Importação superior a 40% (quarenta por cento) e inferior ou igual a 70% (setenta por cento) - Tributada integralmente",Tributada integralmente,Nacional - conteúdo de importação superior a 40% e inferior ou igual a 70%,"1082013",""
"302","Nacional, mercadoria ou bem com Conteúdo de Importação superior a 40% (quarenta por cento) e inferior ou igual a 70% (setenta por cento) - Tributação monofásica própria sobre combustíveis",Tributação monofásica combustíveis,Nacional - conteúdo de importação superior a 40% e inferior ou igual a 70%,"1042023",""
"310","Nacional, mercadoria ou bem com Conteúdo de Importação superior a 40% (quarenta por cento) e inferior ou igual a 70% (setenta por cento) - Tributada e com cobrança do ICMS por substituição tributária",Tributada e com ST,Nacional - conteúdo de importação superior a 40% e inferior ou igual a 70%,"1082013",""
"315","Nacional, mercadoria ou bem com Conteúdo de Importação superior a 40% (quarenta por cento) e inferior ou igual a 70% (setenta por cento) - Tributação monofásica própria e com responsabilidade pela retenção sobre combustíveis",Tributação monofásica com retenção combustíveis,Nacional - conteúdo de importação superior a 40% e inferior ou igual a 70%,"1042023",""
