"id","uf","codigo_ibge","nome"
"17",PE,"26",Pernambuco
"8",ES,"32",Espírito Santo
"2",AL,"27",Alagoas
"21",RS,"43",Rio Grande do Sul
"7",DF,"53",Distrito Federal
"13",MG,"31",Minas Gerais
"3",AP,"16",Amapá
"24",SC,"42",Santa Catarina
"5",BA,"29",Bahia
"23",RR,"14",Roraima
"9",GO,"52",Goiás
"14",PR,"41",Paraná
"6",CE,"23",Ceará
"18",PI,"22",Piauí
"10",MA,"21",Maranhão
"4",AM,"13",Amazonas
"1",AC,"12",Acre
"25",SE,"28",Sergipe
"22",RO,"11",Rondônia
"19",RJ,"33",Rio de Janeiro
"11",MS,"50",Mato Grosso do Sul
"27",TO,"17",Tocantins
"20",RN,"24",Rio Grande do Norte
"15",PB,"25",Paraíba
"26",SP,"35",São Paulo
"16",PA,"15",Pará
"12",MT,"51",Mato Grosso
