"ncm","class","sub"
"8455",Laminadores De Metais,Laminadores de metais e seus cilindros.
"3406","Velas, pavios, círios","Sabões, agentes orgânicos de superfície, preparações para lavagem, preparações lubrificantes, ceras artificiais, ceras preparadas, produtos de conservação e limpeza, velas e artigos semelhantes, massas ou pastas de modelar, ceras para dentistas e composições para dentista à base de gesso - Velas, pavios, círios e artigos semelhantes."
"8509",Aparelhos Eletromecânicos Domésticos,"Aparelhos eletromecânicos com motor elétrico incorporado, de uso doméstico, exceto os aspiradores da posição 85.08."
"4805",Outro Papel E Cartão,"Outro papel e cartão, não revestidos, em rolos ou em folhas, não tendo sofrido trabalho complementar nem tratamentos, exceto os especificados na Nota 3 do presente Capítulo."
"6117",Outros Acessórios Malha,"Outros acessórios de vestuário, confeccionados, de malha, partes de vestuário ou de seus acessórios, de malha."
"3604","Fogos De Artifício,","Fogos de artifício, foguetes de sinalização ou contra o granizo e semelhantes, bombas, petardos e outros artigos de pirotecnia."
"6805",Abrasivos Naturais,"Abrasivos naturais ou artificiais, em pó ou em grãos, aplicados sobre matérias têxteis, papel, cartão ou outras matérias, mesmo recortados, costurados ou reunidos de outro modo."
"2940",Açucares,"Açúcares quimicamente puros, exceto sacarose, lactose, maltose, glicose e frutose (levulose), éteres, acetais e ésteres de açúcares, e seus sais, exceto os produtos das posições 29.37, 29.38 ou 29.39."
"4823",Outros Papeis,"Outro papel, cartão, pasta (ouate) de celulose e mantas de fibras de celulose, cortados em forma própria, outras obras de pasta de papel, papel, cartão, pasta (ouate) de celulose ou de mantas de fibras de celulose."
"7208","Produtos Laminados Planos, De Ferro Ou Aço Não Ligado","Produtos laminados planos, de ferro ou aço não ligado, de largura igual ou superior a 600 mm, laminados a quente, não folheados ou chapeados, nem revestidos."
"7408",Fios De Cobre,Fios de cobre.
"7103",Pedras Preciosas,"Pedras preciosas (exceto diamantes) ou semipreciosas, mesmo trabalhadas ou combinadas, mas não enfiadas, nem montadas, nem engastadas, pedras preciosas (exceto diamantes) ou semipreciosas, não combinadas, enfiadas temporariamente para facilidade de transporte."
"5502",Cabos De Filamentos ,Cabos de filamentos artificiais.
"7804",Chapas De Chumbo,"Chapas, folhas e tiras, de chumbo, pós e escamas, de chumbo."
"0504",Tripas E Pedaços De Animais,"Tripas, bexigas e estômagos, de animais, inteiros ou em pedaços, exceto de peixes, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados (fumados)."
"4907",Selos Postais,"Selos postais, fiscais e semelhantes, não obliterados, tendo ou destinando-se a ter curso legal no país em que têm, ou terão, um valor facial reconhecido, papel selado, notas (papéis-moeda), cheques, certificados de ações ou de obrigações e títulos semelhantes."
"6912",Artigos de cerâmica cozinha,"Produtos cerâmicos - Serviços de mesa, artigos de cozinha, outros artigos de uso doméstico e artigos de higiene ou de toucador, de cerâmica, exceto de porcelana."
"8543",Outras Máquinas E Aparelhos,"Máquinas e aparelhos elétricos com função própria, não especificados nem compreendidos noutras posições do presente Capítulo."
"3502",Albuminas,"Albuminas (incluindo os concentrados de várias proteínas de soro de leite, que contenham, em peso, calculado sobre a matéria seca, mais de 80 % de proteínas de soro de leite), albuminatos e outros derivados das albuminas."
"3815",Iniciadores De Reação,"Iniciadores de reação, aceleradores de reação e preparações catalíticas, não especificados nem compreendidos noutras posições."
"8502",Conversores Elétricos,Grupos eletrogêneos e conversores rotativos elétricos.
"1210",Lúpulo,"Cones de lúpulo, frescos ou secos, mesmo triturados ou moídos ou em pellets, lupulina."
"6106",Camisas De Malha,"Camisas (Camiseiros*), blusas, blusas chemisiers (blusas-camiseiros*), de malha, de uso feminino."
"4905",Obras Cartográficas ,"Obras cartográficas de qualquer espécie, incluindo as cartas murais, as plantas topográficas e os globos, impressas."
"9602",Materias Para Entalhar,"Matérias vegetais ou minerais de entalhar, trabalhadas, e suas obras, obras moldadas ou entalhadas de cera, parafina, estearina, gomas ou resinas naturais, de massas ou pastas para modelar, e outras obras moldadas ou entalhadas não especificadas nem compreendidas noutras posições, gelatina não endurecida, trabalhada, exceto a da posição 35.03, e obras de gelatina não endurecida."
"3507",Enzimas E Similares,"Enzimas, enzimas preparadas não especificadas nem compreendidas noutras posições."
"8308",Fechos E Fivelas,"Fechos, armações com fecho, fivelas, fivelas-fecho, grampos, colchetes, ilhoses e artigos semelhantes, de metais comuns, para vestuário ou acessórios de vestuário, calçado, joalheria, relógios de pulso, livros, encerados, artigos de couro, artigos de seleiro, artigos de viagem, ou para outras confecções, rebites tubulares ou de haste fendida, de metais comuns, contas e lantejoulas, de metais comuns."
"7324",Artigos De Higiene De Ferro,"Artigos de higiene ou de toucador, e suas partes, de ferro fundido, ferro ou aço."
"0511",Produto Animal Imprórprio,"Produtos de origem animal, não especificados nem compreendidos noutras posições, animais mortos dos Capítulos 1 ou 3, impróprios para alimentação humana."
"7404",Sucata de Cobre,"Desperdícios e resíduos, e sucata, de cobre"
"2832",Sulfitos E Similares,"Sulfitos, tiossulfatos."
"3924",Artigos Domésticos,"Serviços de mesa, artigos de cozinha, outros artigos de uso doméstico e artigos de higiene ou de toucador, de plástico."
"6105",Camisas De Malha,"Camisas de malha, de uso masculino."
"9612",Fitas Impressoras,"Fitas impressoras para máquinas de escrever e fitas impressoras semelhantes, tintadas ou preparadas de outra forma para imprimir, montadas ou não em carretéis ou cartuchos, almofadas de carimbo, impregnadas ou não, mesmo com caixa."
"2518",Dolomita,"Dolomita, mesmo sinterizada ou calcinada, incluindo a dolomita desbastada ou simplesmente cortada à serra ou por outro meio, em blocos ou placas de forma quadrada ou retangular."
"7309","Reservatórios, Tonéis, Cubas","Reservatórios, tonéis, cubas e recipientes semelhantes para quaisquer matérias (exceto gases comprimidos ou liquefeitos), de ferro fundido, ferro ou aço, de capacidade superior a 300 l, sem dispositivos mecânicos ou térmicos, mesmo com revestimento interior ou calorífugo."
"6815",Obras De Pedra,"Obras de pedra ou de outras matérias minerais (incluindo as fibras de carbono, as obras destas matérias e as de turfa), não especificadas nem compreendidas noutras posições."
"8201",Ferramentas Manuais Com Gume,"Pás, alviões, picaretas, enxadas, sachos, forcados, forquilhas, ancinhos e raspadeiras, machados, podões e ferramentas semelhantes com gume, tesouras de podar de qualquer tipo, foices e foicinhas, facas para feno ou para palha, tesouras para sebes, cunhas e outras ferramentas manuais para agricultura, horticultura ou silvicultura."
"8427",Aparelhos De Elevação,"Empilhadeiras, outros veículos para movimentação de carga e semelhantes, equipados com dispositivos de elevação."
"7310","Reservatórios, Tonéis, Cubas","Reservatórios, barris, tambores, latas, caixas e recipientes semelhantes para quaisquer matérias (exceto gases comprimidos ou liquefeitos), de ferro fundido, ferro ou aço, de capacidade não superior a 300 l, sem dispositivos mecânicos ou térmicos, mesmo com revestimento interior ou calorífugo."
"8105",Cobalto,"Mates de cobalto e outros produtos intermediários da metalurgia do cobalto, cobalto e suas obras, incluindo os desperdícios e resíduos, e sucata."
"4015",Vestuário,"Vestuário e seus acessórios (incluindo as luvas, mitenes e semelhantes), de borracha vulcanizada não endurecida, para quaisquer usos."
"2913",Derivados Halogenado,"Derivados halogenados, sulfonados, nitrados ou nitrosados dos produtos da posição 29.12."
"1106",Farinha De Legumes De Vagem,"Farinhas, sêmolas e pós, dos legumes de vagem, secos, da posição 07.13, de sagu ou das raízes ou tubérculos da posição 07.14 e dos produtos do Capítulo 8."
"2709",Óleos Petróleo,Óleos brutos de petróleo ou de minerais betuminosos.
"4408",Folhas Para Folheado,"Folhas para folheados (incluindo as obtidas por corte de madeira estratificada), folhas para compensados (contraplacados) ou para madeiras estratificadas semelhantes e outras madeiras, serradas longitudinalmente, cortadas transversalmente ou desenroladas, mesmo aplainadas, lixadas, unidas pelas bordas ou pelas extremidades, de espessura não superior a 6 mm."
"6202",Casacos,"Mantôs (Casacos compridos*), capas, anoraques, casacos (blusões*) e semelhantes, de uso feminino, exceto os artigos da posição 62.04."
"7301",Fios De Outras Ligas De Aço,"Estacas-pranchas de ferro ou aço, mesmo perfuradas ou feitas com elementos montados, perfis obtidos por soldadura, de ferro ou aço."
"6403",Calçado De Borracha,"Calçado com sola exterior de borracha, plástico, couro natural ou reconstituído e parte superior de couro natural."
"8518",Microfones E Similares,"Microfones e seus suportes, alto-falantes (altifalantes), mesmo montados nas suas caixas (colunas), fones de ouvido (auscultadores e auriculares*), mesmo combinados com um microfone, e conjuntos ou sortidos constituídos por um microfone e um ou mais alto-falantes (altifalantes), amplificadores elétricos de audiofrequência, aparelhos elétricos de amplificação de som."
"8111",Manganês,"Manganês e suas obras, incluindo os desperdícios e resíduos, e sucata."
"2914",Cetonas E Quinonas,"Cetonas e quinonas, mesmo que contenham outras funções oxigenadas, e seus derivados halogenados, sulfonados, nitrados ou nitrosados."
"3706",Filmes Cinematográficos,"Filmes cinematográficos impressionados e revelados, que contenham ou não gravação de som ou que contenham apenas gravação de som."
"5003",Desperdícios De Seda,"Desperdícios de seda (incluindo os casulos de bicho-da-seda impróprios para dobar, os desperdícios de fios e os fiapos)."
"7114",Artigos De Ourivesaria,"Artigos de ourivesaria e suas partes, de metais preciosos ou de metais folheados ou chapeados de metais preciosos (plaquê)."
"4403",Madeira,"Madeira em bruto, mesmo descascada, desalburnada ou esquadriada."
"7603",Pó De Alumínio,"Pós e escamas, de alumínio."
"7218",Aço Inoxidável ,"Aço inoxidável em lingotes ou outras formas primárias, produtos semimanufaturados de aço inoxidável."
"3505",Dextrina,"Dextrina e outros amidos e féculas modificados (por exemplo, amidos e féculas pré-gelatinizados ou esterificados), colas à base de amidos ou de féculas, de dextrina ou de outros amidos ou féculas modificados."
"9301",Armas De Guerra,"Armas de guerra, exceto revólveres, pistolas e armas brancas."
"6111",Vestuário Bebe,"Vestuário e seus acessórios, de malha, para bebês."
"0811",Fruta Congelada,"Fruta, não cozida ou cozida em água ou vapor, congelada, mesmo adicionada de açúcar ou de outros edulcorantes."
"7225","Produtos Laminados Planos, De Outras Ligas De Aço","Produtos laminados planos, de outras ligas de aço, de largura igual ou superior a 600 mm."
"9503",Brinquedos De Rodas,"Triciclos, patinetes (trotinetas*), carros de pedais e outros brinquedos semelhantes de rodas, carrinhos para bonecos, bonecos, outros brinquedos, modelos reduzidos e modelos semelhantes para divertimento, mesmo animados, quebra-cabeças (puzzles) de qualquer espécie."
"8212",Navalhas,"Navalhas e aparelhos, de barbear, e suas lâminas (incluindo os esboços em tiras)."
"6909",Aparelhos E Artigos Para Usos Químicos,"Aparelhos e artigos para usos químicos ou para outros usos técnicos, de cerâmica, alguidares, gamelas e outros recipientes semelhantes para usos rurais, de cerâmica, bilhas e outras vasilhas próprias para transporte ou embalagem, de cerâmica."
"8607",Partes De Veículos Para Vias Férreas,Partes de veículos para vias férreas ou semelhantes.
"2526",Esteatita Natural,"Esteatita natural, mesmo desbastada ou simplesmente cortada à serra ou por outro meio, em blocos ou placas de forma quadrada ou retangular, talco."
"5112",Fios De Lã,Tecidos de lã penteada ou de pelos finos penteados.
"6207",Camisetas,"Camisetas interiores (Camisolas interiores*), cuecas, ceroulas, camisolões (camisas de noite*), pijamas, roupões de banho, robes, e artigos semelhantes, de uso masculino. "
"2207",Álcool  Etílico=>80%,"Álcool etílico não desnaturado, com um teor alcoólico, em volume, igual ou superior a 80 % vol., álcool etílico e aguardentes, desnaturados, com qualquer teor alcoólico."
"7323",Artigos De Uso Doméstico De Ferro ,"Serviços de mesa, artigos de cozinha e outros artigos de uso doméstico, e suas partes, de ferro fundido, ferro ou aço, palha de ferro ou aço, esponjas, esfregões, luvas e artigos semelhantes para limpeza, polimento ou usos semelhantes, de ferro ou aço."
"4009",Tubos De Borracha,"Tubos de borracha vulcanizada não endurecida, mesmo providos dos respectivos acessórios (por exemplo, juntas, cotovelos, flanges, uniões)."
"1601",Enchidos de carne,"Enchidos e produtos semelhantes, de carne, miudezas, sangue ou de insetos, preparações alimentícias à base desses produtos.  "
"4201",Artigos De Seleiro Ou De Correeiro,"Artigos de seleiro ou de correeiro, para quaisquer animais (incluindo as trelas, joelheiras, focinheiras, mantas de sela, alforjes, agasalhos para cães e artigos semelhantes), de quaisquer matérias."
"3209",Tintas E Vernizes,"Tintas e vernizes, à base de polímeros sintéticos ou de polímeros naturais modificados, dispersos ou dissolvidos num meio aquoso."
"8542",Circuitos Integrados Eletrônicos,Circuitos integrados eletrônicos.
"8429","Bulldozers, Angledoz","Bulldozers, angledozers, niveladores, raspo-transportadores (scrapers), pás mecânicas, escavadores, carregadores e pás carregadoras, compactadores e rolos ou cilindros compressores, autopropulsados."
"6302",Roupa De Cama E Mesa,"Roupa de cama, mesa, toucador ou cozinha."
"5007",Tecidos De Seda,Tecidos de seda ou de desperdícios de seda.
"5810",Bordado,"Bordados em peça, em tiras ou em motivos."
"8425",Guincho E Macacos,"Talhas, cadernais e moitões, guinchos e cabrestantes, macacos."
"3211",Secantes preparados,Secantes preparados
"2908",Derivados Halogenado,"Derivados halogenados, sulfonados, nitrados ou nitrosados dos fenóis ou dos fenóis-álcoois."
"4821",Etiquetas,"Etiquetas de qualquer espécie, de papel ou cartão, impressas ou não."
"8609",Contêineres,"Contêineres (Contentores*), incluindo os de transporte de fluidos, especialmente concebidos e equipados para um ou vários meios de transporte."
"3901",Polímeros De Etileno,"Polímeros de etileno, em formas primárias."
"9609",Lápis,"Lápis, minas, pastéis, carvões, gizes para escrever ou desenhar e gizes de alfaiate."
"2931",Outros Compostos Organo-Inorgânicos,Outros compostos organo-inorgânicos.
"7302",Elementos De Vias Férreas,"Elementos de vias férreas, de ferro fundido, ferro ou aço: trilhos (carris), contratrilhos (contracarris) e cremalheiras, agulhas, cróssimas, alavancas para comando de agulhas e outros elementos de cruzamentos e desvios, dormentes, talas de junção (eclissas*), coxins de trilho (carril), cantoneiras, placas de apoio ou assentamento, placas de aperto, placas e tirantes de separação e outras peças próprias para a fixação, articulação, apoio ou junção de trilhos (carris)."
"0709",Outros Produtos Hortícolas,"Outros produtos hortícolas, frescos ou refrigerados."
"5903",Tecidos Impregnados,"Tecidos impregnados, revestidos, recobertos ou estratificados, com plástico, exceto os da posição 59.02."
"3822",Reagentes De Diagnóstico,"Reagentes de diagnóstico ou de laboratório em qualquer suporte e reagentes de diagnóstico ou de laboratório preparados, mesmo num suporte, mesmo apresentados sob a forma de estojos, exceto os da posição 30.06, materiais de referência certificados."
"2003",Cogumelos Preparados,"Cogumelos e trufas, preparados ou conservados, exceto em vinagre ou em ácido acético."
"1602",Conservas De Animais,"Outras preparações e conservas de carne, miudezas, sangue ou de insetos."
"3003",Medicamentos,"Medicamentos (exceto os produtos das posições 30.02, 30.05 ou 30.06) constituídos por produtos misturados entre si, preparados para fins terapêuticos ou profiláticos, mas não apresentados em doses nem acondicionados para venda a retalho."
"5111",Fios De Lã,Tecidos de lã cardada ou de pelos finos cardados.
"3821",Meios de cultura,"Meios de cultura preparados para o desenvolvimento e a manutenção de microrganismos (incluindo os vírus e os organismos similares) ou de células vegetais, humanas ou animais.  "
"8512",Aparelhos Elétricos De Iluminação,"Aparelhos elétricos de iluminação ou de sinalização (exceto os da posição 85.39), limpadores de para brisas, degeladores e desembaçadores elétricos, do tipo utilizado em ciclos ou automóveis."
"9403",Outros  Móveis,Outros móveis e suas partes.
"0505",Peles E Outras Partes De Aves,"Peles e outras partes de aves, com as suas penas ou penugem, penas e partes de penas (mesmo aparadas), penugem, em bruto ou simplesmente limpas, desinfetadas ou preparadas tendo em vista a sua conservação, pós e desperdícios de penas ou de partes de penas."
"2809",Pentóxido De Difósfo,"Pentóxido de difósforo, ácido fosfórico, ácidos polifosfóricos, de constituição química definida ou não."
"7223",Fios de aço inoxidável.  ,Fios de aço inoxidável.  
"5204",Linhas Para Costurar,"Linhas para costurar, de algodão, mesmo acondicionadas para venda a retalho."
"1518",Gorduras E Óleos Modificados,"Gorduras e óleos animais, vegetais ou de origem microbiana e respectivas frações, cozidos, oxidados, desidratados, sulfurados, aerados (soprados*), estandolizados ou modificados quimicamente por qualquer outro processo, com exclusão dos da posição 15.16, misturas ou preparações não alimentícias, de gorduras ou de óleos animais, vegetais ou de origem microbiana ou de frações de diferentes gorduras ou óleos do presente Capítulo, não especificadas nem compreendidas noutras posições."
"9021",Aparelhos Ortopédico,"Artigos e aparelhos ortopédicos, incluindo as cintas e fundas médico-cirúrgicas e as muletas, talas, goteiras e outros artigos e aparelhos para fraturas, artigos e aparelhos de prótese, aparelhos para facilitar a audição dos surdos e outros aparelhos para compensar uma deficiência ou uma incapacidade, destinados a serem transportados à mão ou sobre as pessoas ou a serem implantados no organismo."
"4003",Borracha regenerada,"Borracha regenerada, em formas primárias ou em chapas, folhas ou tiras.  "
"3703",Papéis,"Papéis, cartões e têxteis, fotográficos, sensibilizados, não impressionados."
"7314",Telas Metálicas,"Telas metálicas (incluindo as telas contínuas ou sem fim), grades e redes, de fios de ferro ou aço, chapas e tiras, distendidas, de ferro ou aço."
"0301",Peixes Vivos,Peixes vivos.
"3814",Solventes E Diluentes Orgânicos Compostos,"Solventes e diluentes orgânicos compostos, não especificados nem compreendidos noutras posições, preparações concebidas para remover tintas ou vernizes."
"8106",Bismuto,"Bismuto e suas obras, incluindo os desperdícios e resíduos, e sucata."
"2306",Tortas E Resíduos De Óleo,"Tortas (bagaços) e outros resíduos sólidos, mesmo triturados ou em pellets, da extração de gorduras ou óleos vegetais ou de origem microbiana, exceto os das posições 23.04 ou 23.05."
"8452",Máquinas De Costura,"Máquinas de costura, exceto as de costurar cadernos da posição 84.40, móveis, bases e tampas, próprios para máquinas de costura, agulhas para máquinas de costura."
"8418",Refrigeradores,"Refrigeradores, congeladores (freezers) e outros materiais, máquinas e aparelhos, para a produção de frio, com equipamento elétrico ou outro, bombas de calor, exceto as máquinas e aparelhos de ar condicionado da posição 84.15."
"2812",Halogenetos E Oxialo,Halogenetos e oxialogenetos dos elementos não metálicos.
"5801",Veludos,"Veludos e pelúcias tecidos e tecidos de froco (chenille), exceto os artigos das posições 58.02 ou 58.06."
"1901",Extratos De Malte,"Extratos de malte, preparações alimentícias de farinhas, grumos, sêmolas, amidos, féculas ou de extratos de malte, que não contenham cacau ou que contenham menos de 40 %, em peso, de cacau, calculado sobre uma base totalmente desengordurada, não especificadas nem compreendidas noutras posições, preparações alimentícias de produtos das posições 04.01 a 04.04, que não contenham cacau ou que contenham menos de 5 %, em peso, de cacau, calculado sobre uma base totalmente desengordurada, não especificadas nem compreendidas noutras posições."
"8533",Resistências Elétricas,"Resistências elétricas (incluindo os reostatos e os potenciômetros), exceto de aquecimento."
"6310",Trapos,"Trapos, cordéis, cordas e cabos, de matérias têxteis, em forma de desperdícios ou de artigos inutilizados."
"1004",Aveia,Aveia.
"2716",Combustíveis e Energia Elétrica," Combustíveis minerais, óleos minerais e produtos de sua destilação, matérias betuminosas, ceras minerais - Energia elétrica."
"5609",Artigos De Fios,"Artigos de fios, lâminas ou formas semelhantes das posições 54.04 ou 54.05, cordéis, cordas ou cabos, não especificados nem compreendidos noutras posições."
"3915",Resíduos De Plástico,"Desperdícios, resíduos e aparas, de plástico."
"8461",Máquinas Acabamento Metais,"Máquinas-ferramentas para aplainar, plainas-limadoras, máquinas-ferramentas para escatelar, brochar, cortar ou acabar engrenagens, serrar, seccionar e outras máquinas-ferramentas que trabalhem por eliminação de metal ou de cermets, não especificadas nem compreendidas noutras posições."
"2708",Breu E Coque De Alcatrão,Breu e coque de breu obtidos a partir do alcatrão de hulha ou de outros alcatrões minerais.
"0907",Cravo,"Cravo-da-índia (frutos, flores e pedúnculos)."
"0704",Couve E Repolho,"Couves, couve-flor, repolho ou couve frisada, couve-rábano e produtos comestíveis semelhantes do gênero Brassica, frescos ou refrigerados."
"1006",Arroz,Arroz.
