"id","bacen","dt_fim","dt_ini","nome","situacao"
"214","7447",NULL,NULL,SIRIA, REPUBLICA ARABE DA
"245","8451",NULL,NULL,URUGUAI,NULL
"90","3018",NULL,NULL,GRECIA,NULL
"70","2437",NULL,NULL,ERITREIA,NULL
"29","981",NULL,NULL,BOSNIA-HERZEGOVINA (REPUBLICA DA),NULL
"179","5932",NULL,NULL,PITCAIRN,ILHA
"52","1694",NULL,NULL,COLOMBIA,NULL
"16","698",NULL,NULL,AUSTRALIA,NULL
"107","3595",NULL,NULL,MAN, ILHA DE
"165","5380",NULL,NULL,NORUEGA,NULL
"138","4642",NULL,NULL,MALI,NULL
"58","1937",NULL,NULL,COSTA DO MARFIM,NULL
"170","5568",NULL,NULL,OMA,NULL
"252","8702",NULL,NULL,FIJI,NULL
ID,bacen,DT_FIM,DT_INICIO,NOME,SITUACAO
"33","1058",NULL,NULL,BRASIL,NULL
"183","6114",NULL,NULL,PORTO RICO,NULL
"230","7838",NULL,NULL,DJIBUTI,NULL
"17","728",NULL,NULL,AUSTRIA,NULL
"150","4952",NULL,NULL,MONACO,NULL
"18","736",NULL,NULL,AZERBAIJAO, REPUBLICA DO
"250","8630",NULL,NULL,VIRGENS,ILHAS (BRITANICAS)
"121","4111",NULL,NULL,KIRIBATI,NULL
"5","310",NULL,NULL,BURKINA FASO,NULL
"218","7552",NULL,NULL,SVALBARD E JAN MAYERN,INCLUÍDO
"9","420",NULL,NULL,ANTARTICA,INCLUÍDO
"161","5258",NULL,NULL,NIGER,NULL
"242","8281",NULL,NULL,TUVALU,NULL
"30","990",NULL,NULL,BONAIRE,INCLUÍDO
"191","6700",NULL,NULL,ROMENIA,NULL
"112","3727",NULL,NULL,IRA, REPUBLICA ISLAMICA DO
"200","6939",NULL,NULL,SAO BARTOLOMEU,INCLUÍDO
"26","906",NULL,NULL,BERMUDAS,NULL
"86","2917",NULL,NULL,GEORGIA, REPUBLICA DA
"53","1732",NULL,NULL,COMORES, ILHAS
"131","4456",NULL,NULL,LUXEMBURGO,NULL
"41","1457",NULL,NULL,CAMAROES,NULL
"92","3093",NULL,NULL,GUADALUPE,NULL
"162","5282",NULL,NULL,NIGERIA,NULL
"246","8478",NULL,NULL,UZBEQUISTAO, REPUBLICA DO
"248","8508",NULL,NULL,VENEZUELA,NULL
"137","4618",NULL,NULL,MALDIVAS,NULL
"10","434",NULL,NULL,ANTIGUA E BARBUDA,NULL
"102","3433",NULL,NULL,ILHA HEARD E ILHAS MCDONALD,INCLUÍDO
"128","4383",NULL,NULL,LIBIA,NULL
"3","175",NULL,NULL,ALBANIA, REPUBLICA  DA
"4","230",NULL,NULL,ALEMANHA,NULL
"134","4502",NULL,NULL,MADAGASCAR,NULL
"209","7285",NULL,NULL,SENEGAL,NULL
"180","5991",NULL,NULL,POLINESIA FRANCESA,NULL
"24","876",NULL,NULL,BELGICA,NULL
"188","6475",NULL,NULL,REPUBLICA DOMINICANA,NULL
"89","2976",NULL,NULL,GRANADA,NULL
"110","3654",NULL,NULL,INDONESIA,NULL
"78","2550",NULL,NULL,FALKLAND (ILHAS MALVINAS),NULL
"43","1504","2018-05-31 00:00:00.0000000","2006-01-01 00:00:00.0000000",GUERNSEY, ILHA DO CANAL (INCLUI ALDERNEY E SARK)
"219","7560",NULL,NULL,AFRICA DO SUL,NULL
"129","4405",NULL,NULL,LIECHTENSTEIN,NULL
"207","7153",NULL,NULL,SANTA LUCIA,NULL
"174","5762",NULL,NULL,PAQUISTAO,NULL
"237","8150",NULL,NULL,TRINIDAD E TOBAGO,NULL
"68","2399",NULL,NULL,EQUADOR,NULL
"74","2470",NULL,NULL,ESLOVACA, REPUBLICA
"39","1376",NULL,NULL,CAYMAN, ILHAS
"210","7315",NULL,NULL,SEYCHELLES,NULL
"234","8001",NULL,NULL,TOGO,NULL
"196","6874",NULL,NULL,EL SALVADOR,NULL
"178","5894",NULL,NULL,PERU,NULL
"19","779",NULL,NULL,BAHAMAS, ILHAS
