Nome,Marca,EAN,Preço,Preço com desconto,Valor do desconto,Porcentagem de desconto
Amoxicilina 500mg com 21 Cápsulas - Cimed,CIMED,7896523208107,26.49,18.68,7.809999999999999,29.5
Amoxicilina 250mg Suspensão de Uso Oral 150ml - Cimed,CIMED,7896523208473,26.49,24.77,1.7199999999999989,6.5
Azitromicina 500mg com 5 Comprimidos - Cimed,CIMED,7896523226811,41.89,7.61,34.28,81.8
Levofloxacino 500mg com 10 Comprimidos - Cimed,CIMED,7896523213415,108.39,9.11,99.28,91.6
Valsartana 160mg com 30 Comprimidos - Cimed,CIMED,7896523200118,60.58,28.43,32.15,53.1
Mesilato de Doxazosina 2mg com 30 Comprimidos - Cimed,CIMED,7896523227108,32.45,8.06,24.39,75.2
Omeprazol 20mg 56 cápsulas - Cimed,CIMED,7896523227191,38.49,5.99,32.5,84.4
Glimepirida 4mg com 30 Comprimidos - Cimed,CIMED,7896523210940,48.69,6.37,42.32,86.9
Cloridrato de Fluoxetina 20mg com 28 Cápsulas - Cimed,CIMED,7896523227122,49.09,5.15,43.940000000000005,89.5
Maleato de Enalapril 10mg com 30 Comprimidos - Cimed,CIMED,7896523210759,18.99,3.67,15.319999999999999,80.7
Cetoconazol + Diproprianato de Betametasona + Sulfato de Neomicina Creme 30g - Cimed,CIMED,7896523208855,26.39,7.06,19.330000000000002,73.2
Glibenclamida 5mg com 30 Comprimidos - Cimed,CIMED,7896523213989,14.49,1.69,12.8,88.3
Narix Spray - 50ml,CIMED,7896523222783,10.9,8.44,2.460000000000001,22.6
Lavitan Testo Femme com 30 Comprimidos - Cimed,CIMED,7897947601253,29.99,16.18,13.809999999999999,46.0
Probenxil 50mg c/20 cpr,CIMED,7896523201641,9.82,4.79,5.03,51.2
Cimelide 100mg com 12 Comprimidos - Cimed,CIMED,7896523206110,26.89,6.46,20.43,76.0
Pomada Pasta D'água - Cimed - 100g,CIMED,7896523219691,26.64,15.93,10.71,40.2
Sinvastatina 40mg com 30 Comprimidos - Cimed,CIMED,7896523215273,57.83,9.4,48.43,83.7
Esomeprazol Magnésio 20mg com 28 Comprimidos - Cimed,CIMED,7896523201368,115.49,32.45,83.03999999999999,71.9
Domperidona 10mg com 60 Comprimidos - Cimed,CIMED,7896523201061,36.52,9.75,26.770000000000003,73.3
Valsartana 80mg com 30 Comprimidos - Cimed,CIMED,7896523200002,57.91,17.71,40.199999999999996,69.4
Bromoprida Gotas 20ml - Cimed,CIMED,7896523226859,20.86,4.01,16.85,80.8
