Nome,Marca,EAN,Preço sem desconto,Preço no pix,Valor do desconto,Porcentagem desconto,Preço com Desconto
"Trelegy 100Mcg + 62,5Mcg + 25Mcg, Caixa Com 30 Doses De Po Para Inalacao De Uso Oral + Dispositivo Inalatorio",GSK,7896015591212,438.37,"R$ 403,96 ",21.92,5% ,416.45
Lemont 10mg + 5mg Eurofarma 14 Comprimidos,Não especificada,7891317017521,123.5,"R$ 109,02 ",11.11,9% ,112.39
Alenia 6mcg + 200mcg com Inalador e 60 cápsulas,Aché,7896181905295,132.02,"R$ 121,66 ",6.6,5% ,125.42000000000002
Lemont 10mg + 5mg Eurofarma 7 Comprimidos,Não especificada,7891317017514,61.75,"R$ 54,50 ",5.56,9% ,56.19
"Seretide Diskus 50Mcg + 250Mcg, Caixa Com 1 Frasco Com 60 Doses De Po Para Inalacao De Uso Oral",GSK,7896269901720,189.12,"R$ 174,27 ",9.46,5% ,179.66
Ultibro 110 + 50mcg Pó 30 Cápsulas + 1 Inalador,Novartis,7896261018860,374.09,"R$ 344,73 ",18.7,5% ,355.39
"Piemonte 4Mg, Caixa Com 30 Saches Com Granulado De Uso Oral",Não especificada,7891317154301,86.73,"R$ 71,51 ",13.01,15% ,73.72
Montelair Montelucaste de Sódio 5mg 60 comprimidos,Não especificada,7896658030291,122.26,"R$ 100,80 ",18.34,15% ,103.92
Seretide 25mcg + 250mcg 120 Doses Gsk,Não especificada,7896269955372,307.3,"R$ 283,18 ",15.36,5% ,291.94
"Alenia 6Mcg + 200Mcg, Caixa Com 60 Capsulas Gelatinosas Duras Com Po De Uso Inalatorio  Refil",Aché,7896181905288,115.84,"R$ 106,75 ",5.79,5% ,110.05
Floratil AT 250mg 6 Cápsulas,Farmoquímica,7898040329679,49.99,"R$ 35,38 ",13.52,27% ,36.47
"Montelucaste De Sodio Comprimido Biosintética 4Mg, Caixa Com 30 Comprimidos Mastigaveis",Biosintética - Aché,7896181926757,112.49,"R$ 56,74 ",54.0,48% ,58.489999999999995
"Fumarato de Cetotifeno Xarope 0,2mg mL Genérico Prati 120mL",Prati-Donaduzzi,7899547508086,28.88,"R$ 27,17 ",0.87,3% ,28.009999999999998
"Montelucaste De Sodio Comprimido Biosintética 10Mg, Caixa Com 30 Comprimidos Revestidos",Biosintética - Aché,7896181926696,112.46,"R$ 45,81 ",65.23,58% ,47.22999999999999
"Montelair 4Mg, Caixa Contendo 30 Comprimidos Mastigaveis",Aché,7896658023323,76.28,"R$ 60,67 ",13.73,18% ,62.55
Lugano 12mcg + 250mcg 60 Cápsulas,Eurofarma,7891317132392,99.98,"R$ 87,28 ",10.0,10% ,89.98
Atrovent 025mg solução inalação frasco com 20ml,Boehringer Ingelheim,7896026307826,30.9,"R$ 26,07 ",4.02,13% ,26.88
Montelair Montelucaste de Sódio 4mg 30 sachês,Aché,7896658019531,96.8,"R$ 77,00 ",17.42,18% ,79.38
"Montelair 10Mg, Caixa Contendo 30 Comprimidos Revestidos",Aché,7896658014215,76.28,"R$ 62,89 ",11.44,15% ,64.84
"Alenia 12Mcg + 400Mcg, Caixa Com 60 Capsulas Gelatinosas Duras Com Po De Uso Inalatorio  Refil",Aché,7896181918943,155.85,"R$ 143,62 ",7.79,5% ,148.06
Relvar Ellipta 100mcg + 25mcg com 30 doses,GSK,7896015528829,209.93,209.93,10.5,5% ,199.43
Fostair HFA Spray Chiesi 120 Doses,Chiesi,7896672203336,205.68,205.68,10.28,5% ,195.4
"Alenia 6mcg + 100mcg, caixa com 60 cápsulas gelatinosas duras com pó de uso inalatório﻿ + 1 inalador",Aché,7896181905271,132.23,132.23,13.22,10% ,119.00999999999999
"Montelucaste de Sódio Medley 10mg, caixa contendo 30 comprimidos revestidos",Medley,7896422530088,92.14,92.14,48.83,53% ,43.31
