order_id,geolocation_city_c,geolocation_state_c,payment_value,freight_value,seller_city,seller_state,product_category_name,product_weight_g,product_length_cm,product_height_cm,product_width_cm,geolocation_city_s,geolocation_state_s,product_volume,distancia_km,purchase_to_approval_days
00024acbcdf0a6daa1e931b038114c75,atibaia,SP,25.78,12.79,franca,SP,perfumaria,200.0,16.0,10.0,15.0,franca,SP,2400.0,301.9517533288266,0.0067476851851851856
000576fe39319847cbb9d288c5617fa6,praia grande,SP,880.75,70.75,presidente prudente,SP,ferramentas_jardim,13805.0,35.0,75.0,45.0,presidente prudente,SP,118125.0,547.4726645825033,1.1856597222222223
0005f50442cb953dcd1d21e1fb923495,jandira,SP,65.39,11.4,sao paulo,SP,livros_tecnicos,850.0,29.0,3.0,21.0,sao paulo,SP,1827.0,33.15982801648292,0.007835648148148149
00063b381e2406b52ad429470734ebd5,monte alto,SP,57.98,12.98,sao paulo,SP,fashion_bolsas_e_acessorios,200.0,16.0,16.0,11.0,Sao Paulo,SP,2816.0,318.3080706033972,0.02684027777777778
0006ec9db01a64e59a68b2c340bf65a7,rio de janeiro,RJ,97.32,23.32,ibitinga,SP,cama_mesa_banho,1383.0,50.0,10.0,40.0,ibitinga,SP,20000.0,566.1240882842975,0.01392361111111111
0009792311464db532ff765bf7b182ae,alfenas,MG,127.55,27.65,cascavel,PR,esporte_lazer,1050.0,40.0,20.0,30.0,cascavel,PR,24000.0,866.0619570457455,0.6472337962962963
000aed2e25dbad2f9ddb70584c5a2ded,santa barbara d'oeste,SP,152.77,8.77,campinas,SP,perfumaria,468.0,23.0,18.0,19.0,campinas,SP,7866.0,37.667359275403356,0.016261574074074074
00130c0eee84a3d909e75bc08c5c3ca1,sao bernardo do campo,SP,35.84,7.94,atibaia,SP,alimentos,150.0,17.0,13.0,13.0,atibaia,SP,2873.0,70.4182714789452,0.3329166666666667
001ac194d4a326a6fa99b581e9a3d963,cubatao,SP,62.54,8.54,guarulhos,SP,construcao_ferramentas_construcao,418.0,19.0,6.0,13.0,guarulhos,SP,1482.0,48.013160882407774,1.6333217592592593
001e7cf2ad6bef3ade12ebc56ceaf0f3,coromandel,MG,51.1,15.2,belo horizonte,MG,beleza_saude,1614.0,31.0,16.0,28.0,belo horizonte,MG,13888.0,379.38776289118533,0.021145833333333332
002175704e8b209f61b9ad5cfd92b60e,araraquara,SP,123.11,13.21,sao paulo,SP,audio,588.0,19.0,14.0,17.0,sao paulo,SP,4522.0,263.0980109777597,2.216238425925926
